Compensation is money you give to someone to shut them up (i.e. muzzle their mouth).,Neutral,Negativo,Negativo,Negativo,Negativo,Negativo,Negativo,Negativo,Negativo
"Angels have now been given a powerful tool to rectify human behavior instantly, without delay  they have been allowed to drop darts on those who misbehave... spare the dart and spoil the man...",Negativo,Negativo,Neutral,Neutral,Neutral,Neutral,Negativo,Neutral,Negativo
"Question Mars () on his jurisdiction and you will find your head on a pike. This word always reminds me of the first scene in the Matrix where the cop is saying You give me that Jurismydiction crap, you can cram it up your a. Imagine him saying that to Mars.",Negativo,Negativo,Neutral,Neutral,Neutral,Neutral,Negativo,Neutral,Negativo
"Wolverine (sheaf, see ) takes out a villain who can't be cut by smacking the crap out of him with a shovel.",Negativo,Neutral,Negativo,Neutral,Neutral,Negativo,Neutral,Negativo,Negativo
"If you were to stand up all the products you have accumulated over the course of your entire life on top of one another,  the result would probably be as tall as a cliff.",Positivo,Neutral,Neutral,Neutral,Negativo,Neutral,Positivo,Neutral,Positivo
"(Adapted from darg_sama's) Balancing a branch on your finger is the prototypical example of a skill that is nothing more than a skill (i.e., it is completely useless).",Negativo,Neutral,Neutral,Positivo,Negativo,Positivo,Positivo,Neutral,Negativo
"""[inspection; regard as; see; look at]Inspection: you    and someone else   """,Neutral,Neutral,Neutral,Negativo,Positivo,Neutral,Positivo,Neutral,Negativo
An abacus is a mechanism made of wood used to calculate how many 'anythings',Neutral,Neutral,Neutral,Negativo,Negativo,Positivo,Positivo,Neutral,Positivo
"After training your whole life, you manage to get a bronze medal in the Olympics. You're extremely proud of your accomplishment as you step up to receive your medal. The guy in first place is up on a pedestal, towering above you, his elbow level with your mouth. Being a smug bastard, he accidentally knocks his elbow into your mouth, causing you to bleed and lose a tooth. Just cause he won the gold doesn't mean he can place himself on such a high pedestal and do whatever he wants!",Negativo,Neutral,Negativo,Neutral,Negativo,Negativo,Negativo,Negativo,Negativo
"We found a bundle of severed heads in your room, its difficult to trust you.",Negativo,Negativo,Negativo,Positivo,Negativo,Negativo,Negativo,Negativo,Negativo
"Unlike in  , this big mouth isn't content to wait for apricots to fall in his mouth, so he has climbed the tree and is taking them in bundles.",Neutral,Neutral,Positivo,Negativo,Negativo,Neutral,Positivo,Positivo,Negativo
"Large wooden signposts are planted on peoples lawns, with the faces of their representatives all saying: Vote [] Me! for the upcoming ballot.",Neutral,Neutral,Positivo,Negativo,Negativo,Negativo,Neutral,Neutral,Positivo
Mr. T travels to Japan and knows he must bow lower when presenting his business card.,Neutral,Neutral,Neutral,Positivo,Positivo,Neutral,Neutral,Positivo,Positivo
The wicked queen builds her city walls out of menacing tusks.,Negativo,Neutral,Negativo,Positivo,Negativo,Negativo,Negativo,Negativo,Negativo
"To not confuse it with  or , think of the phrase Goodness gracious. Like: Goodness gracious! A turkey with tusks!",Negativo,Neutral,Positivo,Negativo,Negativo,Neutral,Neutral,Positivo,Negativo
